Yayasan,Alamat,Telp
Pondok Pesantren An Nashiriyyah,Desa Sidorejo Kec. Comal,
Pondok Pesantren Al-Mubaarok,Jl. Ahmad Yani No. 40 Desa Sawahan Kec. Rembang,
Pondok Pesantren At Taslim,Desa Sodetan Rt.02/01 Kecamatan Lasem,
Pondok Pesantren Riyadlatut Thalibin,Desa Plawangan Kragan Rembang,
Pondok Pesantren Miftahussholihin,"Ds. Bruyut Kec. Sigalih, Kab. Banjarnegara, Jateng",
Pondok Pesantren Darul Ulum,"Sirau, Kemrajen Banyumas, Jateng.",HP  08122964751
Pondok Pesantren Al Huda,"Ds. Doglo Kec. Cepogo, Boyolali, Jateng.",0276-325656
Pondok Pesantren Yanbuul Hikmah,"Ds Gondangrawe RT 09/02, Kecamatan Andong.","0271-6811274, HP  081567894222"
Pondok Pesantren Al Hikmah II,"Desa Benda, Kec. Sirampog, Kab. Brebes,  Kotak Pos 52272",0289-430872
Pondok Pesantren Al Barokah,"Ds Kawungaten Lor, Kec. Kawungaten, Kab. Cilacap, Jateng",
Pondok Pesantren Futuhiyyah,"Jl. Suburan Mranggen KM 12 Semarang-Purwodadi, Demak  Jateng",
Yayasan Bina Insani,"Jl. A. Yani No 229, Kuripan Purwodadi, Grobogan.","0292-424911, HP  081325261520"
Pondok Pesantren Bukhoriyah,"Jl. Sudiwiryo No. 1 Raguklampitan RT. 17/04 Batealit, Jepara",
Pondok Pesantren Mafatikhul Huda,"Ds. Jogosimo, Kebumen, Jateng.",0287-5506409
Pondok Pesantren Ajahro,"Ds. Penanggulan, Kec. Pegandon, Kab. Kendal",
Pondok Pesantren Al Muhsin,"Ds. Kadibolo, kec. Wedi, Klaten Jawa Tengah.",HP  08156812417
Pondok Pesantren Ishlahus Syubban,"Ds. Undaan Kidul Gang 11, Kc. Undaan, Kudus, Jateng.",HP  08135120571
Pondok Pesantren Agribisnis Ihsanul Fikri,"Pabelan I, Pabelan, Kec. Mungkid Kab. Magelang, Jateng.",0293-5505494
Pondok Pesantren Darussalam Timur Watucongol,"Jl. KH. Dalhar Pobox 106 Muntilan Magelang, Jateng.",HP  081578953999
Pondok Pesantren Roudhatul Thulab,"Prajeksari, Tempuran, Magelang Jawa Tengah",
Pondok Pesantren Tegalrejo,"Jl. Raya Kopeng Km 9, Tegalrejo Magelang, Jawa Tengah",
Pondok Pertanian Darrul Rohmat,"Ds. Gesengan, Dukuh Lor Kaji, Jl. Nyai Ratu Wungkal, Cluwuk, Pati, Jateng.",HP  081325933387
Pondok Pesantren Darul Hidayah,"Tambaharjo, Pati, Jawa Tengah.  Hp. 081326222662",
Pondok Pesantren Darul Hikmah,"Ds. Gembong, Kec. Gembong Pati",HP  081575423300
Pondok Pesantren Mambaussalam,"Jl. Raya Tayu-Pucel KM 8 Alasdowo Pati, Jateng.",HP  085226127941
Pondok Pesantren Al Hidayah,"Jl. Raya Grabyak No. 20 Pait Siwalan, Pekalongan Jateng.",HP  081548094069
Pondok Pesantren Nurul Ummah,Ds. Sawangan Kec. Paninggaran Pekalongan.,HP  081326972222
Pondok Pesantren Al Fallah Misklahul Mutaalimin,"Ds/Kc. Warungpring, Pemalanag, Jawa Tengah",
Pondok Pesantren Attohiriyah,"Ds. Lamuk, Kec Kejobang, Kab. Purbalingga, Jateng",
Pondok Pesantren Darul Ishlah,Jl Tuban No 10 Lerensluke.,HP  085226041157
Pondok Pesantren Kauman,"Jl. Karangturi Gg. Kauman Lasem Rembang, Jateng.",HP  081325650650
Pondok Pesantren Al Hijrah,"Klumprit, RT. 01/01, Sidarejo Kidul, Tingkir, Kota Salatiga",
Pondok Pesantren Miftachul Ulum,"Kauman, Kebondowo, Banyubiru Semarang, Jateng.",0298-5938841
Pondok Pesantren Raudhatul Mujawwidin,"Jl. Sunan Kalijaga X RT. 1/2 Penggaron Kidul Kec. Pendurungan, Semarang.",024-6710497
Pondok Pesantren Al Hikmah Tanon,"Jl. Raya Sragen Sukodon KM. 15 Bedono, Pengkol, Tanon, Sragen.",0271-5890522
Pondok Pesantren Tarbiyatul Mubtadiin,"Gantungan Dukuh Asem RT 12/02 Jatinegara, Tegal.",HP  08142376354
Pondok Pesantren Darul Muttaqien,"Dusun Bolong Ngaditirto, Kec. Selo pampang, Kab. Temanggung, Jateng.",HP  085292212545
Pondok Pesantren Mambaul Falah Kyai Rawit,"Ds. Tegalsari Kec. Kedu Kab. Temanggung,",HP  085228944483
Pondok Pesantren Modern Al Iman,"Randusari, Ngadirojo Kidul, Ngadirojo Wonogiri, Jateng.","0273-4327317, HP  081381731945"
Pondok Pesantren Madinahtussalam,"Desa Jeblengpampitan, Kec. Sukoharjo, Wonosobo.",HP  081804737552
Pondok Pesantren Roudlotul Mutaqien,"Desa Jangkrikan, Kecamatan Kepil Wonosobo.",HP  081328327590
Pondok Pesantren Salafiyah Alfatah,"Karangsari RT. 17/04 Tracap, Kaliwiro Wonosobo, Jateng.",HP  085228964007
Lembaga Sosial Ekonomi Gereja Kristen Jawa,Jl. Rumah Sakit No. 24 Wonosobo Jawa Tengah.,HP  08121583570
Pondok Pesantren Al Fatah,"Jl. S. Parman KM3, Parakancanggah, Banjarnegara, Jateng,",0286-5986100/ 081391152117
Yayasan Al Madani,Jl. Raya Timur Klampok- Banjarnegara,0286 479619/ 08122722515
Gereja Kristen Tabernakel Kristus Mempelai,"Desa Purwonegoro RT.05/I Kec. Purwonegoro, Banjarnegara",
Pondok Pesantren Robbani,"Jl. Garuda No. 14 Perumda, Kec. Patebon, Kab. Kendal",0194-381442
Pondok Pesantren Al Mujahidin,"Jl. Masjid Mujahidin 01Bulakan, Desa Pilang, Kec. Randublatung, Kab, Blora, Jateng",
Pondok Pesantren An Najiyah,"Ds. Kenteng, Kec. Nagosari, Boyolali",
Pondok Pesantren Cengkir Kuning,"Desa Mojo, Kecamatan Andong, Boyolali",81329337884
Pondok Pesantren Darul Fikr,"Desa Beji, Kec. Andong, Boyolali",081329744321/ 081319005664
Pondok Pesantren Darusalam,"Ds. Kacangan Kec. Andong, Boyolali",
Pondok Pesantren Kalimas,"Desa Sendang Karanggede, Boyolali",
Pondok Pesantren Madrosatul Quran,"Dukuh Karangjoho, Desa Mojo, Kec. Andong, Boyolali",
Pondok Pesantren Salafiah Qoryah Thoyyibah,"Dukuh Tompak RT. 06/06 Desa Tarubatang, Kec. Selo, Kab. Boyolali,",81548645773
Pondok Pesantren Ishlahus Syubban,"Jl. Kudus Purwodadi KM 11, Ds./JKc. Undaan, Kudus Jateng",
Pondok Pesantren Khoiro Ummah,"Jl. Kuman Ds. Bentar, Kc. Salem Brebes, Jateng",
Pondok Pesantren Mathlaul Huda / Muthoharoh,"Jl. Raya Parigi, Desa Tambakserang, Kec. Bantarkawung, Brebes",
Pondok Pesantren Miftahul Manan,"Kalilangkap, Bumiayu, Brebes",
Pondok Pesantren Miftahul Ulum,"Jl. Sawah Lega Jemasih, Kec. Ketanggungan, Kab. Brebes",
Pondok Pesantren Nurul Huda,"Jl. H. Abdul Khamid, Desa Tegallurung Gegerkunci, Kec. Songgom, Kab. Brebes, Jateng,",HP  081542089770
"Pondok Pesantren Salafi Al Falah, LM3 Bejo Karo","Jl. Raya Jatirokeh, Kec. Sanggom, Kab. Brebes, Jateng,",0283-3355698
Pondok Pesantren Yanabi Ul Hikmah,"Desa Limbangan, Kec. Losari, Kab. Brebes,",08121488713/0231-3383039
Pondok Pesantren Al Falahiyyatul Kholidiyah,"Widarapayung, Binangun, Cilacap, Jateng",
Pondok Pesantren Al Ihya Ulumuddin,"Kebonbaru, Cilacap",
Pondok Pesantren Al Masykur,"Jl. Raya Mranggen No. 24, Mranggen, Kab. Demak, Jateng,",024-70405216/6722198
Pondok Pesantren Putra Putri Manbaul Quran,"Desa Harjowinangun, Kec. Dempet, Demak",
Pondok Pesantren Al Fauziyah Darussalam,"Jl. KH. Fauzi No. 10 Surodadi, Kedung, Jepara",81327310447
Pondok Pesantren Darul Falah,"Desa Bandungharjo, Kec. Keling, Kab. Jepara,",0291-4277116
Pondok Pesantren Darul Musyawarah,"Desa Banjaragung, Bangsri, Jepara",
Pondok Pesantren Hasyim Asyari,"Sebelah Timur Masjid Besar Annur Bangsri,",0291-771064
Pondok Pesantren Hidayatul Mubtadiin,"Kuwasen RT.014/04 Kec, Jepara, Jepara",
Pondok Pesantren Mambaul Ulum,"Desa Banyumanis, Kec. Keling, Kab. Jepara, Jateng,",081325572037/ 085290230592
Pondok Pesantren Miftahul Huda,"Raguklampitan Rt.018/04, Kec. Batealit, Jepara",
Pondok Pesantren Al Asror,"Desa Gentungan Kec. Mojogedong, Karanganyar",
Pondok Pesantren Darul Arqom,"Komp. Masjid Al Huda Tegalasri RT.05/06 Kab. Karanganyar Jateng,",Phone 0271-5893541
Pondok Pesantren Ash Shidiqiyah,Sendangkulon RT.03/04 Kangkung,
Pondok Pesantren Putra Putri At Taqy,"Desa Margomulyo RT. 01/03, Kec. Pegandon, Kab. Kendal, Jateng",HP  085290523350
Pondok Pesantren Modern Darul Arqom,"Desa Pagersari, Kec. Patean, Kab. Kendal, Jateng,",0294-5790809
Pondok Pesantren Hidayatul Mubtadiin,"Jl. KRT. Mertowijoyo, Gg. Utama Jambearum Patebon,",0294-5704334
Pondok Pesantren Putri Al Azizayah,"Kauman II Rt. 03/IX, Krajan Kulon, Kaliwungu, Kendal",
Pondok Pesantren Tarbiyatul Mubtadiin,"Desa Sudipayung, Kec. Ngampel, Kab. Kerndal, Jateng,",024-91157655
Pondok Pesantren Al Qaumaniyah,"Jl. Sewonegoro No. 03-06, Jekulo, Kudus, Jateng,",0291-3320047
Pondok Pesantren Darul Falah,"Jl. Sewonegoro No. 25-29, Jekulo, Kudus, Jateng,",0291-435937/3320038
Pondok Pesantren Raudatul Hikmah,"Desa Glagah Kulon, Kec. Dawe, Kab. Kudus,",8157781165
Pondok Pesantren Salafiyyah Al Qudsy,"Desa Jetiskapuan, Kec. Jati, Kudus,",08282655514/ 081567983818
Pondok Pesantren Annur,"Kleteran Grabeg, Magelang, Jateng",
Pondok Pesantren Inganatul Mujtahidin,"Desa Purwodadi, Kec. Tegalrejo, Kab. Magelang, Jateng,",85643972085
Pondok Pesantren Safinatun Najah,"Dsn Deles, Ds Jogonayan, Kec. Ngablak",HP  08572906 5346
Pondok Pesantren Sirojul Mukhlasin II,"Payaman Secang, Magelang, Jateng",
Pondok Pesantren TPQ AT Taubah,"Komplek Masjid At-Taubah Dsn Jengkol, Ds Keditan, Ngablak",
Pondok Pesantren Al Hikmah,"Jl. Kaligawe RT. 03/01 Dororejo Kec. Tayu, Kab. Pati, Jateng",
Pondok Pesantren Al Muminin,"Dukuh Ronggo, Desa Baturejo RT. 08/01, Kec. Sukolilo, Pati, Jateng,",081326037222/ 081391745052
Yayasan An Nur Pondok Pesantren At Tauhid,"Jl. Jakenan, Winong KM3, Kab. Pati, Jateng",
Pondok Pesantren Darul Hikmah,"Desa Grogolan, Kec. Dukuhseti, Pati, Jateng,",
Pondok Pesantren Mambaul Ulum,"Desa Pakis, Kec. Tayu, Kab. Pati, Jateng,",0295-452190
Pondok Pesantren Mambaul Ulum,"Desa Kajen RT. 04 RW. I, Kec. Margoyoso, Pati, Jateng,",0295-452437/5521546
"Yayasan Miftahul Huda, Pondok Pesantren Nurul Hida","Desa Tondomulyo, Kec. Jakenan, Kab. Pati, Jateng",
Pondok Pesantren Muwahidun,"Jl. Muria No. 705, Gang Muria No. 08. Gembong, Kab. Pati, Jateng",
Pondok Pesantren Nurul Hidayah,"Desa Sidomulyo RT. 08/03, Kec. Jakenan, Pati,",81327419210
Pondok Pesantren Nurul Huda,"JL. KH. A. Mutamakkin, Gg. 02 Kajen, Kec. Margoyoso, Kab. Pati, Jateng,",0295-5516330
"Yayasan Perguruan Ilmu Al Quran, Pondok Pesantren","Desa Tegalwero, Kec. Pucakwangi, Pati, Jateng",85290650666
Pondok Pesantren Roudlatul Mubtadiin,"Jl. Kauman, Desa Ngagel, Kec. Dukuhseti, Pati, Jateng,",0295-454400/ 081326796202
Pondok Pesantren Nurul Falah,"Ds. Gombong, Kec. Belik, Pemalang",
Pondok Pesantren Islam Nurul Huda,"Karangreja, Kutasari, Purbalingga",0281-7624364-081327135036
Pondok Pesantren Miftahul Ulum,"Kramat, Karangmoncol, Purbalingga",
Pondok Pesantren Miftahul Ulum,"Bantar Barang, Kec. Rembang, Purbalingga",
"Yayasan Pendidikan Islam Minhajut Tholabah, Pondok","Jl. Al Ikhlas Kembangan, Bukateja, Kab. Purbalingga, Jateng,",85227664709
Pondok Pesantren Nurul Ichsan Al Islami,Dusun Legoksari Ds. Karangsari Kec. Kalimanah,0281-7685764/081381791973
Pondok Pesantren Darussalam,"Dusun Gemelem Krican, Desa Kedung Pomahan Wetan, Kec. Kemiri, Purworejo, Jateng,",
Pondok Pesantren Hidayatul Mubtadiin,"Dukuh Petuk, Desa Dadirejo, Kec. Bagelan, Purworejo, Jateng,",81904055963
Pondok Pesantren Al Quraniyyah,"Jl. Gambiran No. 41 Soditan, Kec. Lasem, Rembang, Jateng,",0295-531310/531881
Pondok Pesantren Alhamdulillah,"Jl. Raya Rembang-Blora KM 15, Desa Kemadu, Kec. Sulang, Rembang, Jateng,",81326294590
Pondok Pesantren Nahjatus Sholihin,"Jl. Sedan 65 Plawangan, Kranggan Rembang, Jateng",
Pondok Pesantren Al Musthofa,"Jl. Lemahabang Bandungan KM 4 Temloko, Bregas Kidul Semarang",
Pondok Pesantren Amal Sholeh,"Sumogawe, Kec. Getasan, Semarang",
Pondok Pesantren Islam Darur Robbany,"Jl. Raya Sruwen-Kranggede KM 13 Galangan Gentan, Susukan Semarang",
Pondok Pesantren Putra Putri Al Manar,"Jl. Makam KH. Jalal Suyuti, Kec. Tengaran, Semarang, Jateng",
Pondok Pesantren Saalaf Man Bausdiyyah,"Kaliwinong, Banyukuning, Bandungan, Semarang, Jateng,",082-87418834
Pondok Pesantren Sirojul Mubtadiin,"Jl. Bukit Kencana Rejosari RT. 3 RW. Eteseh Tembalang, Semarang, Jateng,",81325765794
Pondok Pesantren Putra Putri Usuatun Hasanah,"Milir, Bandungan, Semarang, Jateng",
Pondok Pesantren Alghozali,"Jl. Raya Tanon-Sukodono KM 3, Tanon Tanon , Sragen, Jateng,",0271-5861417
Pondok Pesantren Darussalam,"Dukuh Siwalan, Desa Bandung, Kec. Ngrampal, Sragen",
Pondok Pesantren Roudlotut Tholibien Geneng,"Jl. Raya Tanon-Sukodono KM4, Tanono Tanon, Sragen, Jateng, Tlp. 081-329055161",
Pondok Pesantren Al Amin Palur,"Desa Palur Kec.Mojolaban, Sukoharjo",
Pondok Pesantren Lailatul Qodar,"Desa Kenep, Kec. Sukoharjo, Kab. Sukoharjo",
Pondok Pesantren Modern Imam Syuhodo,"Desa Wonorejo, Kec. Polokarto Sukoharjo",
Pondok Pesantren Al Falah,"Desa Tuwel, Kec. Bojong, Kab. Tegal, Jateng,",
Pondok Pesantren Sabilul Muhtadien,"Desa Batumirah, Kec. Bumijawa, Kab. Tegal, Jateng",
Pondok Pesantren Darunaja,"Dsn. Ploso, Ds. Gesing, Kec. Kandangan, Temanggung, Jateng",
Pondok Pesantren Al Kautsar,"Desa Sudungdewo, Kec. Kertek, Wonosobo, Jateng,",HP  085226796263
Pondok Pesantren Al Barokah,Tegal Jeruk Rt.01/Rw.I Kec. Pacenta,
Pondok Pesantren Al Irsyad,"Desa Gunungjati, Kec. Pagedengan",
Pondok Pesantren Al MaUnah,Prigi Rt. 04/Rw.II Sigaluh Kec. Sigaluh,
Pondok Pesantren At Taqwa,Prigi Rt. 04/Rw.I Sigaluh Kec. Sigaluh,
Pondok Pesantren Birrul Walidain,Mandiraja Wetan Rt.06/Rw.III Kec. Mandiraja,
Pondok Pesantren Daar Ut Tauhid,Desa Bakal Kec. Batur,
Pondok Pesantren Darul Achkam,Sawal Rt.01/Rw.III Sigaluh Kec. Sigaluh,
Pondok Pesantren Darul Maarif,Desa Sawal Kec. Sigaluh Tlp.,
Pondok Pesantren Darul Muttaqin,Mandiraja Wetan Rt.01/Rw.III Kec. Mandiraja,81226655696
Pondok Pesantren Hidayatur Rohman,Gembongan Rt. 01/Rw.5 Sigaluh Kec. Sigaluh,
Pondok Pesantren Nurul Huda,Dsn. Jagangsari Desa Pagedongan Rt.03/VI  Kec. Pagedongan,81327002763
Pondok Pesantren Al Jauhariyah,"Sukaraja Lor, Sukaraja",0281-7620931/ 081548825369
Komisi Pengembangan Sosial Keuskupan,Jalan Mesjid No.33 Purwokerto,"281,636,495"
Pondok Pesantren Nurul Huda,"Kp. Langgong Sari Kec. Cilongok, Banyumas",
Pondok Pesantren Hidayatullah,"Jl. Tentara Pelajar Gg. Jeruk, Kec. Kalisalak,",0285-7907959
Pondok Pesantren Putri Tahfidzul Quran Al Hidayah,"Jl. Masjid Al Humam, Desa Plumbon, Kec. Limpung,",85226668361
Pondok Pesantren Mujahidin Randublatung,"Jl. Mujahidin No.1 Bulakan, Desa Pilang Kec. Randublatung",
Pondok Pesantren Aisyiyah (Panti Asuhan),"Dk. Ngreni, Ds. Simo, Kec. Simo",
Pondok Pesantren Al Ashfary,"Desa Dawar, Manggis Kec. Mojosongo",
Pondok Pesantren Al Hikmah,"Karangmojo, Klego,",81329684111
Pondok Pesantren Al Mubarokah,"Tompak Tarubatang Rt.06/03 Selo Boyolali,",85642010635
Pondok Pesantren An Nur,Dk. Grembyuk Desa Tanjung Kec. Klego,
Pondok Pesantren Darul Hikam,"Desa Manyaran Rt.03/01 Karanggede,",81329115199
Pondok Pesantren Hidayatul Mubtadiin,"Pringapus, Manyaran, Karanggede",85225585822
Pondok Pesantren Manbaul Huda,"Desa Bangkok, Kec. Karanggede",81329427185
Pondok Pesantren Miftahul Ulum,"Sempulur, Kec. Karanggede",
Pondok Pesantren Miftahussalam,"Bangkok Karangsalam, Bangkok, Karanggede",81329427185
Pondok Pesantren Nurush Sholah,Desa Pamaroh Kec Kadur,87850405844
Pondok Pesantren Salafiyyah Dawar,Dawar Rt.03/03 Manggis Mojosongo,08158832972/ 085642411400
Pondok Pesantren Syahadat Taukhid,Dk. Tompak Rt. 06/03 Ds. Tarubatang Kec. Selo,
Pondok Pesantren Tahfidzul Quran,"Suruhan Rt.05/Rw.VI, Desa Karangjati, Wonosegoro",85226112733
Pondok Pesantren Ummul Qurok,"Jlegong Rt.09/11, Banyu Urip, Klego, Boyolali",081 393 823 199
Pondok Pesantren Zubdatul Itqon,Dusun Candi Desa Beji Kec. Andong,
Pondok Pesantren Al Hikmah I,Benda Kec. Sirampog,"0289-432566,432677"
Pondok Pesantren Al Mubarokah,Ds. Cipajang Kec. Banjarharjo,85869256695
Pondok Pesantren Aswaja Zainurrahman,Desa Cikeusal Kidul Kec. Ketanggungan,
Pondok Pesantren Hidayatul Hanan,Desa Limbangan Kec. Losari,81802349296
Pondok Pesantren Al Fatah,Jl. Citandui No.39 Donan Cilacap Tengah,0282-536110
Pondok Pesantren Al Islah,"Tegal Anyar, Kalijeruk Kawunganten",81395906054
Pondok Pesantren Assalafiyyah Asysyafiiyyah,Jatirogo Bonang Demak,
Pondok Pesantren Hidayatul Quran,Ngepreh Sayung Rt.01/07 Kec. Sayung,
Pondok Pesantren Al Falah,Desa Karanglangu Kec.Kedungjati,
Pondok Pesantren Darut Taqwa,Desa Ngrandah Kec. Toroh,
Pondok Pesantren Hikmaatul Quran,Jl. Gumelar Rt.06/02 Raguklampitan Batealit,85290466688
Pondok Pesantren Roudlotul Jannah,Desa Ujungwatu Kec.Donorojo,
Pondok Pesantren Al Mustasyfa,"Desa Ori Kec. Kuwarasan,",
Pondok Pesantren Roudlotul Huda,Desa Kebadongan Kec. Klirong,
Yayasan Sjarifudin,Jl. Masjid Rt.05/03 Kel. Ngilir Kec. Kota Kendal,85225181381
Pondok Pesantren Manshurin,"Sribit, Pandeyan, Jatinom",81226193053
Pondok Pesantren Al Amin,Dsn. Nglerep Desa Deyangan Kec. Mertoyudan,0293-788670
Pondok Pesantren Al Hidayah,"Dsn. Jogoyasan, Kec. Ngablak, Magelang",
Pondok Pesantren Al Huda,Dusun Pandean Lor Desa Pandean Kec. Ngablak,
Pondok Pesantren Al Kautsar,Dusun Dalangan Desa Pandean Kec. Ngablak,
Pondok Pesantren Al Muawanah,Dusun Pagonan Desa Sidogede Kec. Grabag,
Pondok Pesantren Hidayatullah,Dusun Tegalsari Rt.20/10 Jambewangi Kec. Secang,
Pondok Pesantren Maahidul Irfan,Desa Gandusari Kec. Bandongan,
Pondok Pesantren Al Akrom,Jl. Raden Santri Desa Banyu Urip Kec. Margoyoso,
Pondok Pesantren Al Azhar,Desa Winong Kec. Tayu,
Pondok Pesantren Al Huda,"Desa Tlogoharum, Kec. Wedarijaksa.",85290533090
Pondok Pesantren Hamalatul Quran,Desa Tanjunganom Gabus,
Pondok Pesantren Mansyaul Fadli,"Kayen, Margoyoso, Pati",
Pondok Pesantren Mathalius Sholah,"Desa Trimulyo Rt.01/05, Kec. Kayen",8164884733
Pondok Pesantren Nurul Quran Anisiyah,Desa Triguna Kec. Pucakwangi,85229707882
Pondok Pesantren Raudlotut Tholibin,Desa Trimulyo Rt. 03/Rw.IV Kec. Kayen,
Pondok Pesantren Roudlotul Jannah,Desa Plosorejo Kec. Pucakwangi,
Pondok Pesantren Sirojul Munir,"Desa Giling, Gunungwungkal",
Pondok Pesantren Al Anwar,"Jl. Pelita I Kradenan, Pekalongan",
Pondok Pesantren Al Manshuriyah,Jl. Desa Mengori No. 234 Pemalang,87881685718
Pondok Pesantren Nihadlul Mubtadi In,Desa Kutawis Kec. Bukateja,
Pondok Pesantren Al Anwar,Jl. Wonosobo Km.5 Maron Loano,0275-3305472
Pondok Pesantren Al Manshurin,Ke. Dukuh Kec. Sidomukti,0298-312426
Pondok Pesantren Putri Al Mahmudiyah,"Desa Jatirejo, Kec. Suruh, Kab.Semarang, Jateng",
Pondok Pesantren Al Masudiyyah Jambon,"Jambon, Ds lanjan, Kec. Sumowono,","81,325,201,199"
Pondok Pesantren Al Uswah,"Pakintelan, Gunungpati, Semarang",
Pondok Pesantren Asrama Perguruan Islam Darussalam,Desa Gebugan Kec. Bergas,
Pondok Pesantren Baitussalam,"Wonolopo, Mijen, Semarang",
Pondok Pesantren Darul Tauchid,Desa Godean Klepu Kec. Pringapus,
Pondok Pesantren Fathkul Huda,Desa Gebugan Rt.01/01 Kec. Bergas,
Pondok Pesantren Madrosatul Quranil Azizah,"Bringin, Ngaliyan, Semarang",
Pondok Pesantren Mahirul Hikmah Assalafi,"Dk. Payudan, Ds. Kenteng Kec. Susukan",81914339740
Pondok Pesantren Mambaul Huda,"Podorejo, Padaan, Mijen, Semarang",
Pondok Pesantren Mambaus Sadiyyah,Kaliwinong Ds. Banyukuning Kec. Bandungan.,
Pondok Pesantren Miftakhul Ulum,Jl. Purwoko Kel. Wujil Kec. Bergas,
Pondok Pesantren Roudlotut Tholibin,"Tolokan, Kec. Getasan,",Tel. 0813.2520.6610
Pondok Pesantren Nurul Mubin,Desa Mojorejo Kec. Karangmalang Tlp. 085282278944,
Pondok Pesantren Nurul Yakin,Kebaksari Desa Pungsari Kec.Plupuh Tlp. 081548324147,
Pondok Pesantren Darun Najach,"Trangsan, Kec. Gatak Tlp. 08121541590",
Pondok Pesantren Zulfikar,Desa Laban Kec. Mojolaban,
Pondok Pesantren Daaru Ulil Albaab,Jl. Pesantren No.1 Desa Kedungkelor Kec.Warurejo,0284-5801450/08176957861
Pondok Pesantren Darul Istiqomah,"Desa Lengkong, Kec. Bojong",81326970194
Pondok Pesantren Raudlatul Janah,Desa Cerih Kec. Jatinegara,81548079780
Yayasan Ribathul Ukhuwah,Jl. Surabaya Kota Tegal,2833320188
Pondok Pesantren Salsabila,Dukuh Babakan Tuwel Kec. Bojong,
Pondok Pesantren Al Ihsan,Desa Gambasan Kec. Selompang,
Pondok Pesantren Roudlotul Huda,Kerokan Kutoanyar Kedu,85228886444
Pondok Pesantren An Nisa,Desa Sejati Kec.Giriwoyo,
Pondok Pesantren As Siroj,Dukuh Klurahan Desa Kadipaten Kec.Selomerto,
Pondok Pesantren Roudlotuttolibin,Dusun Karangasem Desa Beran Kec. Kepil,
Pondok Pesantren An-Nur,Desa Leksana Kecamatan Karangkobar,
"Pondok Pesantren ""Ianatul Huda""",Desa Grogol Rt.001/001 Kecamatan Pejawaran,
Pondok Pesantren Miftahul Abror,Jl. Raya Tugoro Km.17 Desa Tunggoro Kecamatan Sigaluh,
Pondok Pesantren Miftahul Husna Al Ahyar,Desa Sirukem Kecamatan Kalibening,
Ponpes Daarul Ishlah,"JL. Puncak Km.4 Desa Tomba, Kecamatan Bandar",
Pondok Pesantren TPI Al-Hidayah Putri,"Desa Plumbon, Kecamatan Limpung",
Pondok Pesantren Al-Falah,"Dukuh Talun, Desa Ketringan, Kecamatan Jiken Hp. 085741996484",
Pondok Pesantren Mahadul Ulum,"Jl. Nuri Sukolilo, Kel. Ngawen, Kec. Ngawen",
Pondok Pesantren Miftahul Ulum,"Jl. Raya Ngawen, Blora Tlp. 0296-361321",
Pondok Pesantren Tahfidul Quran Nurul Huda,Desa Bajo Kecamatan Kedungtuban,
Pondok Pesantren Al Muslimun,Krapyak Rt.06/11 Paras Cepogo,
Pondok Pesantren Darul Hidayah,Dukuh Pojok desa Samiran Rt.01/02 Kecamatan Selo,
Pondok Pesantren Nur Huda II,"Dukuh Senting, Desa Senting Kecamatan Sambi",
Pondok Pesantren Al-Ikhlas,"Dawar Rt. 02/III, Mojosongo",
Pondok Pesantren Darul Hikam,Desa Manyaran Rt.03/01 Kecamatan Karanggede,
Pondok Pesantren Al-Mubarokah,Dk. Pompak Rt.06/04 Ds. Tarubatang Kec. Selo,
Pondok Pesantren Al-Mumajjad,Jl. KH. Abdusshomad Limbangan Losari,
Pondok Pesantren Ar-Roufiyah,Jl. Doktrin DKI No.1 Desa Cikeusal Kidul Kec. Ketanggungan,
Pondok Pesantren Miftahul Khoer,Jl. Thabet Rindang No.01 Dukuh Permana Desa Jamasih Kec. Ketanggungan,
Yayasan Pendidikan Islam  Syiaruddin,"Jl. Ahmad Dahlan No.72 Pasarbatang, Brebes",
Pondok Pesantren Al Falah,Jl. Pamugaran 3 Sampang Cilacap,
Yayasan Al Ihya,Jl. Pramuka Bakti No.39 Mulyadadi Kecamatan Majenang Hp. 085283023382,
Pondok Pesantren Jabal Nuur,Desa Panisihan Maos Cilacap,
Pondok Pesantren Bustanu Ussyaqil Quran,Dukuh Dero Desa Jatirogo Kecamatan Bonang,
Pondok Pesantren Sabilul Huda,"Ds. Pilangrejo, Kecamatan Wonosalam, Demak",
Pondok Pesantren Ulil Fadhilah,Mlaten Karangmlati Demak Hp. 0818458962,
Pondok Pesantren Assalamah,Dusun Grasak Rt.01/04 Kecamatan Kradenan,
Paroki Hati Yesus Maha Kudus,"Jl. Jend. Sudirman No.8/15A Purwodadi, Grobogan Tlp. 0292-421130",
Pondok Pesantren Nurul Huda,Desa Jambangan Kecamatan Geyer,
Pondok Pesantren Tartilul Quran,Rt.03/II Desa Kejawan Kec. Tegowanu,
Pondok Pesantren Nurul Huda,"Tegalsambi, Tahunan, Jepara Tlp. 0291-592960",
Pondok Pesantren Putra putri Roudlotut Tholibin,Kelet Keling Jepara,081326285518
Pondok Pesantren Roudlotut Tholibin,"Bandungharjo Rt.03/01, Kecamatan Donorojo Hp. 081325012096",
Ponpes Al Fahham,,
Yayasan Insan Mandiri,Badranasri Rt.01/XII Cangkan Karanganyar,
Pondok Pesantren Nurul Falah,"Desa Kedung Jeruk, Kecamatan Mojogedang",
Pondok Pesantren Nurul Ilmi,Dusun Seneng Desa Patekan Kecamatan Wonoboyo,
